energy_densityc2,pressurec2
2.147381e+13,5.195271e+10
2.157316e+13,5.226486e+10
2.167297e+13,5.257889e+10
2.177324e+13,5.289528e+10
2.187402e+13,5.321286e+10
2.197522e+13,5.353235e+10
2.207689e+13,5.385163e+10
2.217903e+13,5.417733e+10
2.228169e+13,5.450213e+10
2.238477e+13,5.482865e+10
2.248839e+13,5.515808e+10
2.259243e+13,5.548852e+10
2.269695e+13,5.582045e+10
2.280196e+13,5.615412e+10
2.290750e+13,5.649176e+10
2.301348e+13,5.682945e+10
2.311996e+13,5.716916e+10
2.322697e+13,5.750987e+10
2.333443e+13,5.785540e+10
2.344243e+13,5.820124e+10
2.355089e+13,5.854837e+10
2.365985e+13,5.890067e+10
2.376937e+13,5.925041e+10
2.387933e+13,5.960379e+10
2.398986e+13,5.995929e+10
2.410085e+13,6.031636e+10
2.421241e+13,6.067451e+10
2.432443e+13,6.103826e+10
2.443696e+13,6.140204e+10
2.455007e+13,6.176717e+10
2.466365e+13,6.213475e+10
2.477781e+13,6.250260e+10
2.489245e+13,6.287731e+10
2.500767e+13,6.325093e+10
2.512336e+13,6.362650e+10
2.523965e+13,6.400458e+10
2.535642e+13,6.438434e+10
2.547379e+13,6.476807e+10
2.559164e+13,6.515236e+10
2.571010e+13,6.553893e+10
2.582905e+13,6.592722e+10
2.594854e+13,6.631809e+10
2.606865e+13,6.671098e+10
2.618926e+13,6.710887e+10
2.631048e+13,6.750497e+10
2.643227e+13,6.790461e+10
2.655455e+13,6.830631e+10
2.667747e+13,6.871008e+10
2.680089e+13,6.911655e+10
2.692494e+13,6.952512e+10
2.704957e+13,6.993578e+10
2.717472e+13,7.034703e+10
2.730050e+13,7.076598e+10
2.742680e+13,7.118367e+10
2.755376e+13,7.160383e+10
2.768129e+13,7.202614e+10
2.780936e+13,7.245096e+10
2.793808e+13,7.287795e+10
2.806734e+13,7.330746e+10
2.819725e+13,7.373918e+10
2.832776e+13,7.417312e+10
2.845889e+13,7.461189e+10
2.859055e+13,7.505096e+10
2.872289e+13,7.549262e+10
2.885584e+13,7.593655e+10
2.898934e+13,7.638308e+10
2.912352e+13,7.683190e+10
2.925833e+13,7.728335e+10
2.939369e+13,7.773746e+10
2.952975e+13,7.819389e+10
2.966642e+13,7.865267e+10
2.980374e+13,7.911447e+10
2.994163e+13,7.957830e+10
3.008022e+13,8.004517e+10
3.021945e+13,8.051764e+10
3.035933e+13,8.098435e+10
3.049986e+13,8.146270e+10
3.064096e+13,8.193994e+10
3.078279e+13,8.241961e+10
3.092527e+13,8.290207e+10
3.106835e+13,8.338700e+10
3.121215e+13,8.387512e+10
3.135662e+13,8.436537e+10
3.150177e+13,8.485850e+10
3.164758e+13,8.535448e+10
3.179406e+13,8.585299e+10
3.194116e+13,8.635481e+10
3.208900e+13,8.685878e+10
3.223753e+13,8.736572e+10
3.238675e+13,8.787558e+10
3.253666e+13,8.838843e+10
3.268726e+13,8.890391e+10
3.283856e+13,8.942237e+10
3.299048e+13,8.994345e+10
3.314327e+13,9.046757e+10
3.329660e+13,9.099477e+10
3.345072e+13,9.152422e+10
3.360556e+13,9.205756e+10
3.376110e+13,9.259319e+10
3.391737e+13,9.313193e+10
3.407437e+13,9.367382e+10
3.423209e+13,9.421886e+10
3.439053e+13,9.476624e+10
3.454972e+13,9.531764e+10
3.470964e+13,9.587140e+10
3.487030e+13,9.642837e+10
3.503171e+13,9.698859e+10
3.519385e+13,9.755164e+10
3.535676e+13,9.811795e+10
3.552041e+13,9.868754e+10
3.568483e+13,9.926045e+10
3.585000e+13,9.983623e+10
3.601594e+13,1.004154e+11
3.618264e+13,1.009979e+11
3.635012e+13,1.015833e+11
